market;рынок;It's a niche market.;Это нишевой рынок.
remain;оставаться;Wounds heal, scars remain.;Раны заживают, шрамы остаются.
explain;объяснять;Try to explain.;Попробуй объяснить.
site;место, расположение;This site is ideal for our house.;Это идеальное место для нашего дома.
hit;ударять;Don't hit me.;Не бей меня.
pull;тянуть;Pull harder.;Тяни сильнее.
church;церковь;The church was crowded.;Церковь была переполнена.
model;модель;Mary could be a model.;Мэри могла бы стать моделью.
perhaps;возможно;Perhaps we overlooked something.;Возможно, мы что-то проглядели.
relationship;отношение;We have a relationship.;Мы состоим в отношениях.
six;шeсть;Wait for six hours.;Подожди шесть часов.
fine;хороший;I'm fine, thanks.;У меня всё хорошо, спасибо.
movie;фильм;That movie was terrible.;Тот фильм был ужасен.
field;поле;What a beautiful field!;Какое красивое поле!
raise;поднимать;Don't raise your voice.;Не повышайте голос.
less;меньше;Less words, more action.;Меньше слов, больше дела.
player;игрок;Every player did his best.;Все игроки очень старались.
couple;пара;What a charming couple!;Какая очаровательная пара!
million;миллион;Tom wanted a million dollars.;Том хотел миллион долларов.
themselves;сами;They couldn't defend themselves.;Они не могли защитить себя.
record;записывать, рекорд;It's an olympic record.;Это олимпийский рекорд.
especially;особенно;It is especially hot today.;Сегодня особенно жарко.
difference;разница;We'll pay the difference.;Мы оплатим разницу.
light;светлый, свет;Water reflects light.;Вода отражает свет.
development;развитие, разработка, возникновение;He contributed much to the development of the economy.;Он внёс огромный вклад в развитие экономики.
federal;федеральный, правительственный;Germany is a federal state.;Германия - федеративное государство.
former;первый из упомянутых выше, бывший;Lincoln greeted his former political rival.;Линкольн поприветствовал своего бывшего политического соперника.
role;роль;You must accept your role.;Ты должен смириться со своей ролью.
pretty;довольно, красивый, хорошенький;That's pretty impressive.;Это довольно впечатляет.
myself;сам;I'll drive myself.;Я поведу сам.
view;вид, пейзаж, точка зрения;What a beautiful view!;Какой прекрасный вид!
price;цена;Price reflects demand.;Цена отражает спрос.
effort;усилие;Make an effort.;Сделай усилие.
nice;хороший;Nice haircut!;Хорошая стрижка!
quite;вполне, довольно, полностью;That's quite meaningless.;Это совершенно бессмысленно.
along;вдоль, по;Sail along the coast.;Плыви вдоль берега.
voice;голос;She lowered her voice.;Она понизила голос.
finally;в конце концов;It's finally Friday.;Ну вот, наконец, и пятница.
department;отдел, сфера, департамент;Please go to the Surgery Department.;Пожалуйста, пройдите в хирургическое отделение.
either;один из двух, любой;I couldn't sleep either.;Я тоже не могла уснуть.
toward;по направлению к;Turn toward me, please.;Повернись ко мне, пожалуйста.
leader;руководитель, лидер;You're a born leader.;Ты прирождённый лидер.
photo;фото;He took this photo.;Он сделал этот снимок.
wear;носить;Cosmonauts wear spacesuits.;Космонавты носят скафандры.
space;пространство, космос;We need more space.;Нам нужно больше места.
project;проект;The project is underway.;Проект находится в стадии разработки.
return;возвращаться;Return to your seat.;Вернись на своё место.
position;положение, точка зрения, должность;Please understand my position.;Пожалуйста, поймите мою позицию.
special;блюдо дня;Nothing special.;Ничего особенного.
film;фильм, снимать;This film is worth seeing.;Этот фильм стоит посмотреть.
major;основной, значительный, майор, основная специальность;What's your major field?;Какова ваша основная сфера деятельности?
type;тип, печатать;Tom isn't my type.;Том — это не мой тип мужчины.
town;город;It's a small town.;Это маленький городок.
article;статья, артикль;I'm writing an article.;Я пишу статью.
road;дорога;Watch the road.;Следи за дорогой.
form;форма;Please fill out this form.;Пожалуйста, заполните эту анкету.
chance;шанс, возможность;Give me another chance.;Дай мне ещё один шанс.
drug;лекарство, наркотик;The drug acted quickly.;Лекарство подействовало быстро.
economic;экономический;High taxes stifle economic growth.;Высокие налоги сдерживают экономический рост.
situation;ситуация;The situation remains unchanged.;Ситуация остаётся прежней.
choose;выбирать;Choose your weapon.;Выбирай оружие.
practice;практика;You just need practice.;Тебе просто нужна практика.
cause;причина, быть причиной;The cause was unclear.;Причина была непонятна.
happy;счастливый;Be happy!;Будь счастлив!
science;наука;Science can't explain this.;Наука не может этого объяснить.
join;присоединить;Go join the others.;Иди и присоединись к остальным.
teach;обучать, преподавать;Please teach me English.;Пожалуйста, научи меня английскому.
develop;разрабатывать, развивать;Blossoms develop from buds.;Цветы появляются из почек.
share;поделиться, доля;Share your experience.;Поделись своим опытом.
yourself;сам;Behave yourself.;Веди себя хорошо.
carry;нести;Mosquitoes carry malaria.;Комары переносят малярию.
clear;светлый, очевидный, понятный, очищать;It's clear to everybody.;Это всем ясно.
brother;брат;Forgive me, Brother.;Прости меня, Брат.
matter;дело, материя, предмет, значить;Mind over matter.;Разум властвует над материей.
dead;мёртвый;You're not dead.;Ты не умер.
image;изображение, образ;The image was altered.;Изображение было изменено.
star;звезда;Look, a shooting star!;Смотри, падающая звезда!
cost;стоить;It cost too much.;Это слишком дорого стоило.
simply;легко, просто;I'm simply obeying orders.;Я просто подчиняюсь приказам.
post;отправлять по почте, пост;Where's the nearest post office?;Где ближайшее почтовое отделение?
society;общество;Ants have a well-organized society.;Муравьи образуют высокоорганизованные сообщества.
picture;картина, фотография;Delete that picture.;Удали эту картинку.
piece;кусок;Give me a piece of chalk.;Дай мне кусочек мела.
paper;бумага;Paper absorbs water.;Бумага впитывает воду.
energy;энергия;Solar energy is a new source of energy.;Солнечная энергия — это новый источник энергии.
personal;личный;For personal reasons.;По личным причинам.
building;здание, строительство;I'll build a large building.;Я построю большое здание.
military;военный;He studied military history.;Он изучал военную историю.
doctor;врач;Call the doctor!;Вызовите врача!
activity;деятельность;Reading is a good activity.;Чтение хорошее занятие.
exactly;точно, именно;I don't remember exactly.;Я не помню точно.
media;средства массовой информации;The government tends to control the media.;Правительство обычно контролирует СМИ.
miss;не уловить, скучать, пропускать, упустить, мисс;I miss you.;Я скучаю по тебе.
evidence;доказательство;The evidence is clear.;Доказательства очевидны.
product;продукт;It's a niche product.;Это нишевой товар.
realize;осознавать;Do you realize what's happening?;Вы осознаёте, что происходит?
save;спасать;Save frequently.;Почаще сохраняйтесь.
arm;рука (от кисти до плеча), вооружаться;Relax your arm.;Расслабь свою руку.
technology;технология;Technology is just a tool.;Технологии — это лишь инструмент.
catch;ловить;Cats catch mice.;Кошки ловят мышей.
comment;комментарий, комментировать;Delete this comment.;Удали этот комментарий.
term;срок, термин, условие;The president said he would not run for the second term.;Президент сказал, что он не будет баллотироваться на второй срок.
color;цвет;What color are cucumbers?;Какого цвета огурцы?
cover;накрывать, обложка;Read this book from cover to cover.;Прочти эту книгу от корки до корки.
describe;описывать;Words cannot describe it.;Это невозможно описать словами.
guess;догадываться, предположение, догадка;Guess who won.;Угадай, кто выиграл.
choice;выбор;It's your choice.;Это твой выбор.
source;источник;I can't reveal my source.;Я не могу раскрыть свой источник.
mom;мама;Ask mom!;Спроси у мамы!
soon;скоро;Christmas is soon.;Скоро Рождество.
director;директор, режиссёр;I am the executive director of the museum.;Я исполнительный директор музея.
international;международный;Happy International Women's Day!;С Международным женским днём!
rule;правило, править;You broke the rule.;Ты нарушил правило.
campaign;кампания;We started a campaign against smoking.;Мы начали компанию против курения.
ground;земля, основание;This is holy ground.;Это святая земля.
election;выборы, избрание;The election results depress me.;Результаты выборов меня удручают.
check;проверка, отмечать галочкой, чек;Let me check.;Дай я проверю.
page;страница;Turn the page.;Переверни страницу.
fight;драться, бороться, спор;Fight like men.;Сражайтесь, как мужчины.
itself;себя;History repeats itself.;История повторяется.
test;экзамен, тест, тестировать;That was a test.;Это было испытание.
patient;пациент, терпеливый;Above all, be patient.;Прежде всего, будь терпелив.
produce;производить;Nuclear energy is used to produce electricity.;Атомная энергия используется для производства электричества.
certain;уверенный, определённый;Are you certain about this? Absolutely certain?;Вы в этом уверены? Точно уверены?
whatever;какой бы ни, что бы ни;Whatever happens, don't panic.;Что бы ни случилось, не паникуй.
half;половина;Give me half.;Дай мне половину.
video;видео;I watched the Youtube video.;Я смотрел видео на Ютубе.
throw;бросать;Don't throw stones.;Не кидайся камнями.
third;треть;What's your third wish?;Какое твоё третье желание?
rest;отдыхать;You need rest.;Ты нуждаешься в отдыхе.
recent;новый, недавний;Are these recent pictures?;Это недавние фотографии?
available;доступный, свободный;Tickets are available online.;Билеты доступны онлайн.
step;шаг;Be sure to follow them step by step.;Обязательно следуй за ними шаг за шагом.
ready;готовый;Dinner is ready.;Ужин готов.
opportunity;возможность;Don't waste the opportunity.;Не упусти возможность!
official;официальный;Switzerland has several official languages.;В Швейцарии несколько официальных языков.
oil;масло;This is olive oil.;Это оливковое масло.
organization;организация;That organization depends on voluntary contributions.;Эта организация зависит от добровольных пожертвований.
character;характер, персонаж;He's my favorite character.;Он - мой любимый персонаж.
single;единственный, одинокий;Tom is still single.;Том всё ещё один.
current;течение, текущий, поток;Tom's current whereabouts are unknown.;Текущее местонахождение Тома неизвестно.
likely;вероятный, вероятный;That's hardly likely.;Едва ли это возможно.
county;графство, округ;This county is poor in natural resources.;Этот округ беден природными ресурсами.
future;будущее;Nobody knows the future.;Никто не знает будущего.
dad;папа;Happy birthday, Dad.;С днём рождения, папа!
whose;чей;Whose books are these?;Чьи это книги?
shoot;стрелять;Please don't shoot.;Пожалуйста, не стреляй.
industry;промышленность,;The German auto industry produces excellent cars.;Немецкая автопромышленность производит превосходные автомобили.
list;список, перечислять;Make a list.;Составьте список.
general;общий, генерал;The general strike paralyzed the whole country.;Всеобщая забастовка парализовала всю страну.
stuff;штука, вещество, личные вещи, набивать, фаршировать;Leave my stuff alone.;Оставьте мои вещи в покое.
figure;думать, полагать, цифра, фигура;Go figure.;Поди пойми!
attention;внимание;Get Tom's attention.;Привлеки внимание Тома.
forget;забывать;Forget about it.;Забудь об этом.
risk;риск;There's absolutely no risk.;Нет абсолютно никакого риска.
focus;внимание, концентрироваться;Focus on your breathing.;Сосредоточься на своём дыхании.
short;короткий;She likes short skirts.;Ей нравятся короткие юбки.
fire;увольнять, огонь;Let's fire Tom.;Давай уволим Тома.
dog;собака;Beware of dog.;Остерегайся собаки.
