listen;cлушать;Listen, everybody!;Слушайте, все!
boy;мальчик;Boys, be ambitious.;Мальчики, будьте амбициозными.
mother;мать;Your mother asked about you.;Твоя мать спрашивала о тебе.
short;короткий;I like short hair.;Мне нравится короткая стрижка.
interesting;интересный;Found anything interesting?;Нашли что-то интересное?
question;вопрос;Good question!;Хороший вопрос.
week;неделя;See you next week!;Увидимся на следующей неделе!
hear;слышать;I hear music.;Я слышу музыку.
easy;лёгкий;This is easy.;Это легко.
right;правильный;You guessed right.;Ты угадал правильно.
woman;женщина;What a woman!;Какая женщина!
star;звезда;Stars are beautiful.;Звёзды прекрасны.
understand;понимать;Do you understand?;Ты понимаешь?
word;слово;Not another word!;Больше ни слова!
eye;глаз;Their eyes met.;Их глаза встретились.
age;возраст;Act your age.;Веди себя соответственно возрасту.
tell;рассказывать, сказать;Tell everybody.;Скажи всем.
expensive;дорогой;Cars are expensive.;Машины дорогие.
look;смотреть;Look around.;Посмотри вокруг себя.
daughter;дочь;How old is your daughter?;Сколько лет вашей дочери?
blue;голубой;What blue sky!;Какое голубое небо!
car;автомобиль;Cars are expensive.;Машины дороги.
say;говорить;Say something.;Скажи что-нибудь.
day;день;Happy Thanksgiving Day.;Счастливого Дня Благодарения.
time;время;What time is it?;Сколько времени?
school;школа;He disliked school.;Он не любил школу.
brother;брат;We are brothers.;Мы братья.
watch;наблюдать, смотреть;Watch me.;Посмотри на меня!
late;поздний;I met her late in the evening.;Я встретил её поздно вечером.
man;мужчина;Be a man.;Будь мужчиной!
different;разный;Everyone is different.;Все разные.
show;показывать;Show yourself!;Покажись!
green;зелёный;Green suits you.;Зеленый тебе идет.
long;длинный;My dog has a long tail.;У моей собаки длинный хвост.
fine;хороший;Fine, thanks.;Хорошо, спасибо!
travel;путешествовать;I travel often.;Я часто путешествую.
son;сын;Their son became a famous singer.;Их сын стал известным певцом.
hour;час;I slept nine hours.;Я спал девять часов.
afternoon;после полудня;We leave tomorrow afternoon.;Мы уезжаем завтра после полудня.
play;играть;He plays soccer.;Он играет в футбол.
fly;летать;I can fly.;Я могу летать.
small;маленький;She has small feet.;У неё маленькие ступни.
street;улица;The streets were empty.;Улицы были пусты.
wear;носить;He wears glasses.;Он носит очки.
weather;погода;What lovely weather!;Какая чудная погода!
take;брать;Take my glasses.;Возьми мои очки.
old;старый;Hello, old friend!;Привет, старый друг!
night;ночь;Good night!;Спокойной ночи!
learn;учиться;You learn English.;Ты учишь английский.
little;маленький;He lives in a little cozy house.;Он живёт в маленьком уютном доме.
evening;вечер;Call me this evening.;Позвони мне сегодня вечером.
wall;стена;Walls have ears.;У стен есть уши.
life;жизнь;Enjoy life.;Наслаждайся жизнью.
young;молодой;He looks young.;Он молодо выглядит.
red;красный;Red wine, please.;Красное вино, пожалуйста.
make;создавать, делать;Make your choice.;Делай свой выбор.
tree;дерево;Monkeys climb trees.;Обезьяны забираются на деревья.
open;открывать;Open the door.;Открой дверь.
know;знать;Who knows?;Кто знает?
great;великолепный;Great idea.;Великолепная идея.
answer;ответ, отвечать;Answer me!;Ответь мне!
country;страна;Leave this country.;Уезжайте из этой страны.
year;год;Next year.;В следующем году.
big;большой;Russia is big.;Россия большая.
good;хороший;Good hunting.;Хорошей охоты.
poor;бедный;Tom is poor.;Том беден.
brown;коричневый;He has brown eyes.;У него карие глаза.
send;отправлять;Send a telegram!;Отправь телеграмму!
head;голова;His head ached.;У него болела голова.
health;здоровье;Exercise improves health.;Упражнения укрепляют здоровье.
sing;петь;Cicadas are singing.;Поют цикады.
bread;хлеб;She baked bread.;Она испекла хлеб.
Monday;понедельник;Monday follows Sunday.;Понедельник идёт за воскресеньем.
Tuesday;вторник;He phoned on Tuesday.;Он звонил во вторник.
Wednesday;среда;I'll see you on Wednesday.;Увидимся в среду.
Thursday;четверг;Yesterday was Thursday.;Вчера был четверг.
Friday;пятница;How about Friday?;Как насчёт пятницы?
Saturday;суббота;I like Saturdays.;Мне нравятся субботы.
Sunday;воскресенье;He works Sundays.;Он работает по воскресеньям.
January;январь;Is it January already?;Уже январь?
February;февраль;February has only 28 days.;В феврале только 28 дней.
March;март;He finished school in March.;Он окончил школу в марте.
April;апрель;It's April first.;Сегодня первое апреля.
May;май;May is my favourite month.;Май - мой любимый месяц.
June;июнь;Rainy season begins in June.;Сезон дождей начинается в июне.
July;июль;Happy Fourth of July!;С Четвёртым июля!
August;август;It was late August.;Был конец августа.
September;сентябрь;School reopens in September.;Школа снова откроется в сентябре.
October;октябрь;October is over.;Октябрь прошёл.
November;ноябрь;My birthday is in November.;Мой день рождения в ноябре.
December;декабрь;Christmas is December 25th.;Рождество двадцать пятого декабря.
one;один;Choose one.;Выбери один.
two;два;Two beers, please.;Два пива, пожалуйста.
three;три;Three coffees, please.;Три кофе, пожалуйста.
four;четыре;Twice two is four.;Дважды два — четыре.
five;пять;High five!;Дай пять!
six;шeсть;It's almost six.;Сейчас почти шесть.
seven;семь;They dine at seven.;Они ужинают в семь.
eight;восемь;He is eight.;Ему восемь.
nine;девять;I slept nine hours.;Я спал девять часов.
ten;десять;Count to ten.;Посчитай до десяти.
eleven;одиннадцать;This house has eleven rooms.;В этом доме одиннадцать комнат.
twelve;двенадцать;A year has twelve months.;В году двенадцать месяцев.
thirteen;тринадцать;I have thirteen cats.;У меня тринадцать кошек.
fourteen;четырнадцать;Did you say fourteen or forty?;Ты сказал четырнадцать или сорок?
fifteen;пятнадцать;Please wait fifteen minutes.;Подождите пятнадцать минут, пожалуйста.
sixteen;шестнадцать;I'm sixteen years old.;Мне шестнадцать лет.
seventeen;семнадцать;She got married at seventeen.;Она вышла замуж в семнадцать лет.
eighteen;восемнадцать;She said she was over eighteen.;Она сказала, что ей больше восемнадцати.
nineteen;девятнадцать;So I turned nineteen today;Сегодня мне исполнилось девятнадцать.
twenty;двадцать;Twenty families live here.;Здесь живут двадцать семей.
thirty;тридцать;Wait thirty minutes.;Подожди тридцать минут.
forty;сорок;Forty years passed.;Прошло сорок лет.
fifty;пятьдесят;He had fifty dollars.;У него было пятьдесят долларов.
sixty;шестьдесят;He retired at sixty.;Он вышел на пенсию в шестьдесят лет.
seventy;семьдесят;Tom lost seventy pounds.;Том потерял семьдесят фунтов.
eighty;восемьдесят;This candy costs eighty cents.;Эта конфета стоит восемьдесят центов.
ninety;девяносто;Please read page ninety-four.;Пожалуйста, прочитай девяносто четвёртую страницу.
hundred;сто;Tom saved three hundred dollars.;Том сэкономил триста долларов.
thousand;тысяча;Again, a thousand apologies.;Ещё раз приношу тысячу извинений.
million;миллион;It cost 30 million dollars.;Он стоил тридцать миллионов долларов.
billion;миллиард;There are billions of stars in the sky.;В небе миллиарды звезд.
first;первый;Who's first?;Кто первый?
second;второй;Second semester has ended.;Закончился второй семестр.
half;половина;Leave me half.;Оставь мне половину.
several;несколько;He made several corrections.;Он внёс несколько исправлений.
dozen;дюжина;He bought a dozen eggs.;Он купил дюжину яиц.
double;двойной;She has a double chin.;У неё двойной подбородок.
