property;свойство, собственность;This is private property.;Это частная собственность.
middle;середина, срединный;What's in the middle drawer?;Что в среднем ящике?
management;управление;The firm is under foreign management.;Эта фирма управляется из-за границы.
original;настоящий, подлинный, первоначальный;Compare the copy with the original.;Сравни копию с оригиналом.
victim;жертва;Don't blame the victim.;Не вини жертву.
cancer;рак;Smoking causes lung cancer.;Курение вызывает рак легких.
speech;речь;His speech bored me.;Его речь навела на меня скуку.
particular;конкретный, специфический;Railway workers have their own particular terminology.;У железнодорожных работников есть своя собственная терминология.
trial;испытание, проба, суд;The drug must go through clinical trials before being approved.;Лекарство должно пройти клинические испытания, прежде чем будет одобрено.
none; нисколько, ни один служба;I know none of them.;Я никого из них не знаю.
item;предмет, элемент, вещь;The first item he bought was an alarm clock.;Первым предметом, который он приобрёл, стал будильник.
weight;вес;Scales measure weight.;Весы измеряют вес.
tomorrow;завтра;We're closed tomorrow.;Завтра мы не работаем.
positive;позитивный, уверенный, положительный, утвердительный, положительная степень, позитив;Let's think positive.;Давайте мыслить позитивно.
citizen;гражданин;He became an American citizen.;Он стал американским гражданином.
trip;путешествие, спотыкаться;It was a great trip.;Это было замечательное путешествие.
establish;устанавливать, основывать;It's an established fact.;Это установленный факт.
executive;исполнительный;I am the executive director of the museum.;Я исполнительный директор музея.
politics;политика;The conversation switched to politics.;Разговор перешёл на политику.
stick;приклеивать, палка;The dog sniffed the stick.;Собака обнюхала палку.
customer;покупатель, клиент;Another satisfied customer.;Ещё один довольный клиент.
manager;менеджер;Call the manager.;Позовите управляющего.
publish;публиковать;The newspapers didn't publish anything.;В газетах ничего не опубликовали.
popular;популярный;What is popular now?;Что популярно сейчас?
sing;петь;Sing something, please.;Спой что-нибудь, пожалуйста.
ahead;впереди;Look straight ahead.;Смотри прямо вперёд.
conference;совещание, конференция;The conference begins on Monday.;Конференция начинается в понедельник.
total;полный, общий;What is the total number of students?;Каково общее число учеников?
discover;обнаруживать, делать открытие;How did she discover that?;Как она об этом узнала?
fast;быстрый;Speak fast.;Говорите быстро.
direction;направление;Keep going in that direction.;Продолжайте идти в этом направлении.
Sunday;воскресенье;I'm free on Sunday.;Я свободен в воскресенье.
maintain;поддерживать;Maintain a healthy state of mind.;Поддерживайте здоровое состояние психики.
majority;большинство;Majority rule is a basic principle of democracy.;Принцип большинства является основным принципом демократии.
peace;мир;Everybody wants permanent peace.;Все хотят постоянного мира.
dinner;ужин;Dinner is ready.;Ужин готов.
partner;партнёр;Tom is my business partner.;Том - мой деловой партнёр.
user;пользователь;How many users are currently online?;Сколько пользователей сейчас в сети?
above;выше;He lives above me.;Он живёт надо мной.
fly;летать;Ostriches cannot fly.;Страусы неспособны летать.
bag;сумка;Please open your bag.;Откройте сумку, пожалуйста.
therefore;поэтому, следовательно;I overslept this morning, therefore I haven't had my breakfast.;Сегодня утром я проспал, поэтому не завтракал.
rich;богатый;She seems rich.;Она выглядит богатой.
tough;крутой нравом, трудный, жёсткий;You're tough but fair.;Ты суров, но справедлив.
owner;владелец;Who's the owner of the cafe?;Кто владелец кафе?
inside;внутри;Stay inside.;Оставайся внутри.
voter;избиратель;He was popular with voters.;Он был популярен среди избирателей.
tool;инструмент;He handled the tool skillfully.;Он ловко управлялся с этим инструментом.
June;июнь;We can deliver the product in June.;Мы можем доставить товар в июне.
mountain;гора;Elbrus is Europe's highest mountain.;Эльбрус - самая высокая гора в Европе.
range;ряд, область, варьироваться;We discussed a wide range of topics.;Мы обсудили широкий круг вопросов.
coach;тренер, карета, вагон;My coach helped me.;Мой тренер мне помог.
fear;бояться, страх;I fear so.;Боюсь, что так.
Friday;пятница;Finally, it's Friday.;Ура! Сегодня пятница!
attorney;адвокат;Tom has hired a divorce attorney.;Том нанял адвоката по бракоразводным делам.
unless;если не, пока не;You'll never know unless you try.;Не узнаешь, пока не попробуешь.
expert;специалист, эксперт;An expert is speaking.;Говорит эксперт.
structure;структура;The brain has a complex structure.;Мозг имеет сложную структуру.
budget;бюджет;Our budget is very limited.;Наш бюджет очень ограничен.
insurance;страховка;Tom called his insurance company.;Том позвонил в свою страховую компанию.
text;текст, текстовое сообщение, отправлять сообщение;Translate this text.;Переведите этот текст.
freedom;свобода;People love freedom.;Люди любят свободу.
crazy;сумасшедший;You're crazy!;Ты сумасшедший!
reader;читатель;A careful reader would have noticed the mistake.;Внимательный читатель заметил бы ошибку.
style;стиль;The author has a beautiful style.;У автора красивый стиль.
march;идти строем, марш;I'll be leaving in March.;Я уеду в марте.
machine;машина;Don't use machine translation.;Не используйте машинный перевод.
November;ноябрь;In Tokyo, the cold season starts in the middle of November.;В Токио холода начинаются в середине ноября.
generation;поколение, выработка;Societal values change from generation to generation.;Общественные ценности меняются от поколения к поколению.
income;доход;The income from this source is tax-free.;Доход из этого источника не облагается налогами.
born;рождённый, прирождённый;He was born rich.;Он родился богатым.
admit;допускать, признавать;Few politicians admit their mistakes.;Немногие политики признают свои ошибки.
hello;привет;Hello everyone!;Всем привет!
onto;на, к;Put it onto the table.;Положи на стол.
sea;море;The sea is raging.;Море бушует.
mouth;рот, устье;Cover your mouth.;Прикрывай рот.
throughout;повсюду, на всём протяжении;I've looked throughout the house.;Я искал по всему дому.
web;сети, паутина;A spider weaves a web.;Паук плетёт паутину.
shake;трясти;Shake before using.;Перед использованием взболтать.
threat;угроза;You're a threat to our mission.;Ты угроза нашей миссии.
solution;решение;Find a solution.;Найди решение.
shut;закрывать;Shut the window.;Закройте окно.
travel;путешествовать;I travel often.;Я часто путешествую.
scientist;учёный;Scientists interpret it differently.;Ученые объясняют это по-разному.
hide;прятаться;Are you hiding?;Ты прячешься?
